"","c100_4","c100_4_pooled","c100_4_pooled_supp","c150_4","c150_4_pooled_supp","c150_4_aian","c150_4_aianold","c150_4_asian","c150_4_api","c150_4_black","c150_4_blacknh","c150_4_hisp","c150_4_hispold","c150_4_nhpi","c150_4_nra","c150_4_2mor","c150_4_unkn","c150_4_white","c150_4_whitenh","c150_4_pooled","c200_4_pooled_supp","c100_l4","c100_l4_pooled","c100_l4_pooled_supp","c150_l4","c150_l4_pooled_supp","c150_l4_aian","c150_l4_aianold","c150_l4_asian","c150_l4_api","c150_l4_blacknh","c150_l4_black","c150_l4_hisp","c150_l4_hispold","c150_l4_nhpi","c150_l4_nra","c150_l4_2mor","c150_l4_unkn","c150_l4_whitenh","c150_l4_white","c150_l4_pooled","c200_l4","c200_l4_pooled","c200_l4_pooled_supp","c150_4_loannopell","c150_l4_loannopell","c150_4_pell","c150_l4_pell","c150_4_noloannopell","c150_l4_noloannopell","year"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9194,0.9194,1,0.9194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9194,0.8547,0.8431,0.8431,NA,NA,NA,1,NA,NA,"latest"
"2",0.1772,0.1373,0.1373,0.3418,0.3125,NA,NA,1,NA,0,NA,0.25,NA,NA,NA,NA,0,0.375,NA,0.3125,0.3736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3333,NA,0.4103,NA,0.1538,NA,"latest"
"3",0.4358,0.4193,0.4193,0.7254,0.7125,0.7143,NA,0.7762,NA,0.6954,NA,0.7192,NA,0.6364,0.6842,0.6967,0.75,0.7293,NA,0.7125,0.7279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6751,NA,0.7017,NA,0.75,NA,"latest"
"4",NA,NA,NA,0.3745,0.3662,0,NA,0.5172,NA,0.2326,NA,0.3879,NA,0,0.3636,0.1818,0.3846,0.4074,NA,0.3662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3073,NA,0.3349,NA,0.5,NA,"latest"
"5",NA,NA,NA,0.4737,0.4427,0.8,NA,0.6154,NA,0.3195,NA,0.3817,NA,0.5714,0.5714,0.5,0.35,0.5021,NA,0.4427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4138,NA,0.3863,NA,0.568,NA,"latest"
"6",0.1829,0.1553,0.1553,0.5087,0.4901,0.5,NA,0.5714,NA,0.5126,NA,0.4074,NA,NA,0.4444,0.625,NA,0.4444,NA,0.4901,0.4478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5479,NA,0.4879,NA,0.558,NA,"latest"
"7",0.256,0.2474,0.2474,0.5226,0.5172,0.2857,NA,0.7031,NA,0.5439,NA,0.5337,NA,1,0.5,0.4576,0.55,0.5037,NA,0.5172,0.529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4738,NA,0.5235,NA,0.5341,NA,"latest"
"8",0.2041,0.1751,0.1751,0.5765,0.5228,0.2857,NA,1,NA,0.1667,NA,0.1818,NA,NA,1,0.3,0,0.6456,NA,0.5228,0.2256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9545,NA,0.3485,NA,0.5581,NA,"latest"
"9",NA,NA,NA,0.3182,0.34,NA,NA,NA,NA,0.75,NA,0.2353,NA,NA,NA,NA,NA,0,NA,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3333,NA,0.3158,NA,NA,NA,"latest"
"10",0.1765,0.2176,0.2176,0.2208,0.2872,1,NA,0,NA,0.3,NA,0.2609,NA,0,0,NA,0.0625,0.2308,NA,0.2872,0.2751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1429,NA,0.1967,NA,0.4444,NA,"latest"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.85,0.8581,0.8581,0.85,0.8581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8581,0.8676,0.7869,0.7869,NA,NA,NA,0.85,NA,NA,"latest"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9048,0.875,0.9636,0.9636,NA,NA,NA,1,NA,1,"latest"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,0.7826,0.7826,0.9375,0.8478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8478,0.8,0.6761,0.6761,NA,1,NA,1,NA,0,"latest"
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8454,0.7775,0.7775,0.8744,0.8689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8689,0.9123,0.8884,0.8884,NA,0.8293,NA,0.8421,NA,0.9808,"latest"
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.1667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1667,0,0.3333,NA,NA,NA,NA,0,NA,NA,"latest"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"latest"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3083,0.2797,0.2797,0.8583,0.8671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8671,0.913,0.8684,0.8684,NA,NA,NA,1,NA,0.6792,"latest"
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3125,0.4078,0.4078,0.5938,0.6893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6893,0.8462,0.7765,0.7765,NA,1,NA,0.5965,NA,0.25,"latest"
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0667,0.5455,0.5455,0.8,0.8636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8636,0.75,0.8966,NA,NA,1,NA,0.7273,NA,1,"latest"
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.9166,0.9166,1,0.9166,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.9166,0.9333,0.8889,NA,NA,NA,NA,1,NA,NA,"latest"
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,1,NA,1,"latest"
